"TAG","TIME","X","Y","n_X","n_Y","geometry","surface_type_combined"
226,"2021-04-28 02:00:00.510",243127.5667289269,716034.2897949527,35.45642842560244,32.538248013578986,"POINT (35.45642842560244 32.538248013578986)","rural"
310,"2021-04-28 02:00:00.778",237718.5369258246,714784.4508364479,35.39882376533118,32.52708007513792,"POINT (35.39882376533118 32.52708007513792)","rural"
144,"2021-04-28 02:00:00.213",238175.0084142948,715271.3276395835,35.40369210733821,32.531462777982426,"POINT (35.40369210733821 32.531462777982426)","rural"
25,"2021-04-28 02:00:00.115",239717.68718896984,713917.8335135719,35.42008389298289,32.51923084949516,"POINT (35.42008389298289 32.51923084949516)","rural"
363,"2021-04-28 02:00:01.091",240939.9915697392,714071.4649337365,35.43309636728965,32.520593210243895,"POINT (35.43309636728965 32.520593210243895)","urban"
161,"2021-04-28 02:00:01.109",240434.42293551296,718167.6020237011,35.427806958364535,32.557538797265565,"POINT (35.427806958364535 32.557538797265565)","unknown"
430,"2021-04-28 02:00:01.497",243025.6765412561,714435.1406976763,35.45530369630431,32.52383025495902,"POINT (35.45530369630431 32.52383025495902)","unknown"
238,"2021-04-28 02:00:02.751",240667.97290365704,713754.1571974371,35.43019407941168,32.5177371864133,"POINT (35.43019407941168 32.5177371864133)","urban"
423,"2021-04-28 02:00:02.746",240307.720250944,717355.9381134799,35.426439869908364,32.55022222210864,"POINT (35.426439869908364 32.55022222210864)","unknown"
241,"2021-04-28 02:00:03.511",242576.92496272112,713082.3510497148,35.450494161188004,32.51164121824736,"POINT (35.450494161188004 32.51164121824736)","rural"
376,"2021-04-28 02:00:03.577",237364.549926586,719987.0261541218,35.39515514511166,32.573998810842234,"POINT (35.39515514511166 32.573998810842234)","unknown"
229,"2021-04-28 02:00:03.105",236262.22767126135,716212.1976061187,35.3833484285591,32.53997748547314,"POINT (35.3833484285591 32.53997748547314)","rural"
220,"2021-04-28 02:00:03.758",242527.56431825843,718718.4749431987,35.45010720317035,32.562464556040375,"POINT (35.45010720317035 32.562464556040375)","rural"
167,"2021-04-28 02:00:03.073",243343.58740150835,713304.5136772194,35.458658674452224,32.513628295981555,"POINT (35.458658674452224 32.513628295981555)","rural"
167,"2021-04-28 02:00:03.073",243343.58740150835,713304.5136772194,35.458658674452224,32.513628295981555,"POINT (35.458658674452224 32.513628295981555)","rural"
425,"2021-04-28 02:00:03.713",238283.96643699837,715304.2334557096,35.40485256371792,32.53175765587928,"POINT (35.40485256371792 32.53175765587928)","rural"
201,"2021-04-28 02:00:04.666",246063.78674308685,711894.2856113309,35.48756794830418,32.50085006477121,"POINT (35.48756794830418 32.50085006477121)","rural"
405,"2021-04-28 02:00:04.494",242066.5330601744,720992.4594745861,35.445252907074895,32.582979022294495,"POINT (35.445252907074895 32.582979022294495)","urban"
405,"2021-04-28 02:00:04.494",242066.5330601744,720992.4594745861,35.445252907074895,32.582979022294495,"POINT (35.445252907074895 32.582979022294495)","urban"
225,"2021-04-28 02:00:05.515",239204.6375560417,717695.7487074686,35.4147028836257,32.55330656878629,"POINT (35.4147028836257 32.55330656878629)","rural"
231,"2021-04-28 02:00:05.831",242317.3952864929,714014.2717352083,35.44775486952095,32.520049977564405,"POINT (35.44775486952095 32.520049977564405)","rural"
430,"2021-04-28 02:00:05.497",243022.78578268675,714429.4631011445,35.455272786242894,32.52377911995848,"POINT (35.455272786242894 32.52377911995848)","unknown"
232,"2021-04-28 02:00:06.341",244261.38397276128,718011.5642228838,35.4685503408827,32.55605276008103,"POINT (35.4685503408827 32.55605276008103)","rural"
323,"2021-04-28 02:00:06.137",238665.85349739523,714887.8550556442,35.4089090443112,32.5279965105012,"POINT (35.4089090443112 32.5279965105012)","rural"
325,"2021-04-28 02:00:06.415",238191.94919918827,715230.3250323479,35.40387161546142,32.53109276005831,"POINT (35.40387161546142 32.53109276005831)","rural"
19,"2021-04-28 02:00:06.261",243381.92042918527,717651.1815307321,35.45917724657299,32.55282243762194,"POINT (35.45917724657299 32.55282243762194)","rural"
13,"2021-04-28 02:00:06.241",240754.67178812192,713748.1917338916,35.43111666378252,32.51768173459152,"POINT (35.43111666378252 32.51768173459152)","urban"
378,"2021-04-28 02:00:07.942",240848.3020307244,713408.617743313,35.43210543116464,32.51461789867758,"POINT (35.43210543116464 32.51461789867758)","urban"
228,"2021-04-28 02:00:07.338",242536.95555828477,716736.674435476,35.45015849798828,32.54459402642196,"POINT (35.45015849798828 32.54459402642196)","rural"
425,"2021-04-28 02:00:07.713",238274.73642613203,715322.3851240113,35.40475467841125,32.531921491110985,"POINT (35.40475467841125 32.531921491110985)","unknown"
406,"2021-04-28 02:00:07.098",242086.97943732436,720956.9865366969,35.44546981513189,32.58265873878935,"POINT (35.44546981513189 32.58265873878935)","rural"
407,"2021-04-28 02:00:07.348",241203.5653680149,715032.7853118903,35.43592384889282,32.52925656624017,"POINT (35.43592384889282 32.52925656624017)","water"
226,"2021-04-28 02:00:08.509",243129.1402841405,716035.9409380492,35.45644521800699,32.5382628687603,"POINT (35.45644521800699 32.5382628687603)","rural"
310,"2021-04-28 02:00:08.777",237724.5105017728,714781.6088063548,35.39888729243956,32.527054349430536,"POINT (35.39888729243956 32.527054349430536)","rural"
144,"2021-04-28 02:00:08.212",238189.4243682465,715244.4485860893,35.40384502156548,32.53122015874497,"POINT (35.40384502156548 32.53122015874497)","rural"
145,"2021-04-28 02:00:08.106",244290.6877828221,712949.002279569,35.46872861451817,32.510401780311966,"POINT (35.46872861451817 32.510401780311966)","unknown"
145,"2021-04-28 02:00:00.107",244279.4041126339,712938.7276294206,35.46860826371197,32.51030938323443,"POINT (35.46860826371197 32.51030938323443)","unknown"
25,"2021-04-28 02:00:08.115",239695.82151094655,713908.0458188731,35.41985096621684,32.51914298979703,"POINT (35.41985096621684 32.51914298979703)","rural"
363,"2021-04-28 02:00:09.090",240932.2969883909,714073.3490831777,35.4330145157901,32.52061034900556,"POINT (35.4330145157901 32.52061034900556)","urban"
